r,amp_w,tw,tp_w,phase_w,vert_w,acre,cw, qw, qe,ce, qd,amp_s,ts,tp_s,phase_s,vert_s, qs, tal,exp, mal,i,crop,r_var,water_energy_util_var,dem_var,supp_var,diff_sup_dem_var,tal_var,exp_var,mal_var, qs_stddev
51633.09344255,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.33189078,0.06000000,23661.00000000,7.00000000,201.44000000,889.41331762,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,880.42534193,12821.00000000,172.22114464,107.00000000,1.00000000,1.00000000,0.00001937,78216.47033074,0.00112434,0.00113581,112.07784386,0.00007800,0.00580649,0.00934579,264.12760258
69991.66109570,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.58215949,0.06000000,21295.00000000,7.87536880,201.44000000,881.21442149,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,993.50890235,8524.11377157,427.00000000,405.00000000,1.00000000,1.00000000,0.00001429,36692.33076789,0.00113480,0.00100653,352.89796001,0.00011731,0.00234192,0.00246914,298.05267071
59045.70389835,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.25166382,0.06000000,31434.00000000,6.63155541,201.44000000,811.43938731,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,910.84171593,15347.00000000,155.81776950,308.94326750,1.00000000,1.00000000,0.00001694,71158.65315116,0.00123238,0.00109789,7842.98212067,0.00006516,0.00641775,0.00323684,273.25251478
55680.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.04979806,0.06000000,33018.00000000,9.13374943,201.44000000,851.01756190,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1051.00000000,18008.00000000,265.00000000,130.83211183,1.00000000,1.00000000,0.00001796,72321.26268230,0.00117506,0.00095147,2399.27924235,0.00005553,0.00377358,0.00764338,315.30000000
58828.07271939,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.00000000,0.06000000,18771.00000000,6.00000000,201.44000000,989.04276379,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,747.66003766,5110.00000000,315.00000000,96.00000000,1.00000000,1.00000000,0.00001700,53537.92424755,0.00101108,0.00133751,7928.61378262,0.00019569,0.00317460,0.01041667,224.29801130
53768.05427697,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.76788761,0.06000000,20147.00000000,7.23250360,201.44000000,921.29165616,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,875.23067546,17782.35836225,358.00000000,171.00000000,1.00000000,1.00000000,0.00001860,165764.84227800,0.00108543,0.00114256,453.33462199,0.00005624,0.00279330,0.00584795,262.56920264
50289.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.64467377,0.06000000,32796.00000000,8.00000000,201.44000000,894.84837711,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,923.38522142,18650.00000000,223.14964259,313.79333483,1.00000000,1.00000000,0.00001989,41017.08288368,0.00111751,0.00108297,26.53921841,0.00005362,0.00448130,0.00318681,277.01556642
51531.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.13759200,0.06000000,27550.00000000,9.70778500,201.44000000,816.18931797,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,756.38970976,11973.00000000,323.05274030,138.94785015,1.00000000,1.00000000,0.00001941,152745.23908934,0.00122521,0.00132207,7024.23042290,0.00008352,0.00309547,0.00719694,226.91691293
56714.74307901,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,3.00000000,0.06000000,23904.00000000,9.56401891,201.44000000,1032.15953754,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,845.16455785,13939.42585452,201.00000000,319.57013134,1.00000000,1.00000000,0.00001763,212459.56547753,0.00096884,0.00118320,17466.14336230,0.00007174,0.00497512,0.00312920,253.54936736
52054.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.00000000,0.06000000,31757.00000000,5.00000000,201.44000000,1044.77069645,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,855.96452149,13715.00000000,361.00000000,129.52133010,1.00000000,1.00000000,0.00001921,47990.22446271,0.00095715,0.00116827,20958.55455174,0.00007291,0.00277008,0.00772074,256.78935645
