r,amp_w,tw,tp_w,phase_w,vert_w,acre,cw, qw, qe,ce, qd,amp_s,ts,tp_s,phase_s,vert_s, qs, tal,exp, mal,i,crop,r_var,water_energy_util_var,dem_var,diff_sup_dem_var,tal_var,exp_var,mal_var, qs_stddev
64811.03954,10000,6,6,4.5,26305.14,1,0.06,28404,7,201.44,776.7459154,180,6,6,4.5,720,788.906673,11204.24291,248.0406228,81,1,1,1.54295E-05,58725.88937,0.001287422,123.2540846,8.92519E-05,0.004031598,0.012345679,260.3392021
55284.16507,10000,6,6,4.5,26305.14,2.756354457,0.06,22274,7,201.44,752.532047,180,6,6,4.5,720,952,5536.333807,230.5189384,416.9729124,1,1,1.80884E-05,161869.3669,0.001328847,147.467953,0.000180625,0.004338038,0.002398237,304.64
64832,10000,6,6,4.5,26305.14,0.339103332,0.06,22982,9,201.44,925.9149161,180,6,6,4.5,720,800.8021252,7721,69,362.3670397,1,1,1.54245E-05,23155.1896,0.001080013,-25.91491612,0.000129517,0.014492754,0.002759633,256.2566801
62007,10000,6,6,4.5,26305.14,2.98079441,0.06,20664,9,201.44,1006,180,6,6,4.5,720,1004.888001,8217,114,415.6758011,1,1,1.61272E-05,203539.3145,0.000994036,-106,0.000121699,0.00877193,0.002405721,311.5152804
62018.76268,10000,6,6,4.5,26305.14,1.435082696,0.06,35384,7,201.44,1068,180,6,6,4.5,720,943,8790.190395,79.83471005,255.0806537,1,1,1.61242E-05,84276.50767,0.00093633,-168,0.000113763,0.01252588,0.003920329,320.62
49657.20097,10000,6,6,4.5,26305.14,2.466467716,0.06,31944,8,201.44,906.9441716,180,6,6,4.5,720,770.850846,13771.69402,242,121.7247531,1,1,2.01381E-05,156927.9156,0.001102604,-6.944171552,7.26127E-05,0.004132231,0.008215256,292.9233215
54592.08088,10000,6,6,4.5,26305.14,0.969528445,0.06,27081,8.90692655,201.44,802.5965565,180,6,6,4.5,720,1075.791947,13751.55055,422.8086782,328.366019,1,1,1.83177E-05,65791.2377,0.001245956,97.40344345,7.27191E-05,0.002365136,0.003045382,430.3167788
59735.43617,10000,6,6,4.5,26305.14,0.644347178,0.06,30232,10,201.44,886,180,6,6,4.5,720,989.4519514,18649,182.7387046,208,1,1,1.67405E-05,46869.54198,0.001128668,14,5.36222E-05,0.005472294,0.004807692,326.519144
57972.67856,10000,6,6,4.5,26305.14,1.358384422,0.06,17005,9.862152227,201.44,1055.108758,180,6,6,4.5,720,899.5608788,8472,285.5933214,261,1,1,1.72495E-05,97988.81198,0.00094777,-155.1087584,0.000118036,0.003501482,0.003831418,359.8243515
67131,10000,6,6,4.5,26305.14,2.708082649,0.06,18983,8.857340051,201.44,889.1354158,180,6,6,4.5,720,746.0465064,19756,451.3242018,143.0955088,1,1,1.48962E-05,183153.2731,0.001124688,10.86458416,5.06175E-05,0.002215702,0.00698834,283.4976724
55869.49624,10000,6,6,4.5,26305.14,2.786085353,0.06,18745,7.125210848,201.44,1071.096043,180,6,6,4.5,720,995.9081263,17883,228,252.2029287,1,1,1.78989E-05,165365.0887,0.000933623,-171.0960434,5.5919E-05,0.004385965,0.003965061,239.0179503
58101.65209,10000,6,6,4.5,26305.14,3,0.06,25049,6.954700697,201.44,916.1465946,180,6,6,4.5,720,951,16634.89961,432,276.8773344,1,1,1.72112E-05,175492.7179,0.001091528,-16.14659462,6.01146E-05,0.002314815,0.003611708,199.71
69595.9037,10000,6,6,4.5,26305.14,2.34714474,0.06,29401,7.87713404,201.44,1041.903849,180,6,6,4.5,720,749.7358143,13400.70976,263.7312515,214.5328198,1,1,1.43687E-05,147955.6628,0.000959781,-141.9038495,7.46229E-05,0.003791739,0.004661291,284.8996094
61606.57314,10000,6,6,4.5,26305.14,2.819663897,0.06,29350,9,201.44,891.368526,180,6,6,4.5,720,814,7638,314,194.3404773,1,1,1.6232E-05,192536.7462,0.00112187,8.631474033,0.000130924,0.003184713,0.005145608,268.62
54917.53732,10000,6,6,4.5,26305.14,0.093195679,0.06,32688,10,201.44,1020.124926,180,6,6,4.5,720,1030,14393.42226,154.7577726,194,1,1,1.82091E-05,6779.014414,0.000980272,-120.1249261,6.94762E-05,0.006461711,0.005154639,381.1
67324,10000,6,6,4.5,26305.14,3,0.06,28887,7.85742925,201.44,928.2459563,180,6,6,4.5,720,954.8031789,17994.83817,392.4858283,188,1,1,1.48535E-05,188825.3598,0.001077301,-28.24595627,5.55715E-05,0.002547863,0.005319149,257.7968583
59998.05463,10000,6,6,4.5,26305.14,0.518605012,0.06,32000,10,201.44,825.4617104,180,6,6,4.5,720,918.0341827,11976.44342,361.79167,450.5970702,1,1,1.66672E-05,37723.10985,0.001211443,74.53828957,8.34972E-05,0.002764022,0.002219278,293.7709385
56715.80889,10000,6,6,4.5,26305.14,2.129092026,0.06,27009,8.4873581,201.44,818,180,6,6,4.5,720,857,6325.614007,379.2722727,242.0006628,1,1,1.76318E-05,140355.2713,0.001222494,82,0.000158087,0.002636628,0.00413222,274.24
46782.10621,10000,6,6,4.5,26305.14,0.480473218,0.06,26631,9,201.44,892.4514538,180,6,6,4.5,720,900.0892124,6303,403.1170617,475.7377453,1,1,2.13757E-05,32808.43154,0.001120509,7.548546153,0.000158655,0.002480669,0.002101998,207.0205189
62758,10000,6,6,4.5,26305.14,1,0.06,34612,9,201.44,986.3429759,180,6,6,4.5,720,805.5095281,14610.86875,283.9126761,93.61541304,1,1,1.59342E-05,68283.5803,0.001013846,-86.34297586,6.84422E-05,0.00352221,0.010682002,209.4324773
52998.9603,10000,6,6,4.5,26305.14,2.072548581,0.06,27373,9.25187288,201.44,816.5956901,180,6,6,4.5,720,854.1948696,12912.10857,92,96.51006211,1,1,1.88683E-05,143884.2615,0.001224596,83.40430986,7.74467E-05,0.010869565,0.010361614,187.9228713
48566,10000,6,6,4.5,26305.14,1.204178834,0.06,17333,10,201.44,929.7399404,180,6,6,4.5,720,1035,11076.51499,295,87.51541804,1,1,2.05905E-05,87591.4605,0.00107557,-29.73994041,9.02811E-05,0.003389831,0.011426558,310.5
48970.07248,10000,6,6,4.5,26305.14,1.704210078,0.06,35905,5,201.44,882,180,6,6,4.5,720,1036.42823,18332.93627,215.9403697,51,1,1,2.04206E-05,81785.42418,0.001133787,18,5.45466E-05,0.004630908,0.019607843,217.6499284
