r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
314.0757442,10000,6,6,4.5,26305.14,0.36592905,0.00044,10.53102197,1.49,838.463349,1269.777788,377.6038239,6,6,4.5,2229.915154,284.7852873,60.51561151,281.9698126,-1244.16
335.4149967,10000,6,6,4.5,26305.14,17.53823658,0.00044,8.66366061,1.49,1106.228793,1281.667583,398.6927117,6,6,4.5,1778.887737,291.3363223,103.1288106,237.3298744,-979.23
279.4480933,10000,6,6,4.5,26305.14,1.37919465,0.00044,68.56811768,1.49,1267.230557,1662.66801,444.3973322,6,6,4.5,2105.996263,187.7115052,132.715806,184.7158003,-1425.83
316.2880493,10000,6,6,4.5,26305.14,8.58062322,0.00044,11.32242397,1.49,1405.773502,2348.560155,259.0273482,6,6,4.5,2568.473361,270.0413331,108.6050738,223.976555,-2051.47
153.3342725,10000,6,6,4.5,26305.14,0.49546968,0.00044,70.72066919,1.49,931.2933298,1006.754884,566.8004333,6,6,4.5,2517.338554,135.5478043,88.68500173,118.0827996,-994.2
345.4129711,10000,6,6,4.5,26305.14,10.45869478,0.00044,19.88870982,1.49,1718.05587,1910.523591,320.1406486,6,6,4.5,2512.543695,299.168128,137.5791431,275.1956247,-1441.22
272.6795848,10000,6,6,4.5,26305.14,15.95860856,0.00044,9.75058552,1.49,1090.126587,1628.008379,502.3650081,6,6,4.5,1626.625011,266.8048668,141.6730364,223.95904,-1327.58
273.5414837,10000,6,6,4.5,26305.14,3.756103,0.00044,34.67796889,1.49,1383.480117,2225.54228,368.8180695,6,6,4.5,2490.07747,239.5750161,85.15249184,230.6109304,-1951.52
345.3708438,10000,6,6,4.5,26305.14,0.28200189,0.00044,89.26736993,1.49,1259.010416,1125.861133,330.6306978,6,6,4.5,1947.756679,341.3030124,95.75471725,303.0736327,-885.37
196.3981674,10000,6,6,4.5,26305.14,0.87287688,0.00044,39.40572996,1.49,867.3592415,1760.884674,215.9831536,6,6,4.5,2399.951962,151.7115792,102.0483474,138.1361098,-1710.97
