r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
287.22953613, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 4.13975830, 0.00044000, 31.73034668, 1.49000000, 1620.35156250, 2520.35156250, 551.31042480, 6.00000000, 6.00000000, 4.50000000, 2452.74169922, 266.19494629, 138.79114624, 187.64938843, -2164.74305599
