r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
190.08,10000,6,6,4.5,26305.14,10.05,0.00044,52.5,1.49,2160,2160,427.5,6,6,4.5,1710,3718.5,74.185,222.395,-1341.859888
