r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
345.58000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10000000, 0.00044000, 5.00000000, 1.49000000, 2375.00000000, 3375.00000000, 675.00000000, 6.00000000, 6.00000000, 4.50000000, 2700.00000000, 345.58000000, 148.00000000, 345.58000000, -2817.29360979
