r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
196.33159786, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.12541865, 0.00044000, 6.08287820, 1.49000000, 2374.89772610, 3374.84367244, 674.96993586, 6.00000000, 6.00000000, 4.50000000, 2699.95149932, 181.14667901, 131.10629081, 152.77272164, -2816.96814901
294.91575495, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10502379, 0.00044000, 5.03401004, 1.49000000, 2374.20346402, 3374.20070410, 674.91753198, 6.00000000, 6.00000000, 4.50000000, 2699.97386792, 272.24328019, 141.38349460, 206.88524169, -2816.77870065
310.24735020, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.11093435, 0.00044000, 15.64494912, 1.49000000, 2372.35703334, 3372.13892640, 674.71676491, 6.00000000, 6.00000000, 4.50000000, 2699.31083150, 280.67580599, 131.55779292, 193.04897317, -2814.80851362
271.10364378, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10251822, 0.00044000, 5.80150489, 1.49000000, 2374.34155480, 3374.29771414, 674.96636961, 6.00000000, 6.00000000, 4.50000000, 2699.61955063, 246.03439429, 104.57471153, 187.72853235, -2816.74913106
314.13480525, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.11698837, 0.00044000, 6.71873851, 1.49000000, 2373.78502257, 3373.68956028, 674.32019241, 6.00000000, 6.00000000, 4.50000000, 2699.87534847, 269.05839477, 140.68428727, 221.32521628, -2816.18683385
333.00837671, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10658113, 0.00044000, 5.56871051, 1.49000000, 2374.60315912, 3374.37198649, 674.67914839, 6.00000000, 6.00000000, 4.50000000, 2699.93056198, 272.44912025, 124.25845662, 215.70187084, -2816.71308375
300.17592759, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.11653709, 0.00044000, 5.63043475, 1.49000000, 2373.78429614, 3373.72739437, 674.80128913, 6.00000000, 6.00000000, 4.50000000, 2699.65180592, 279.97587111, 130.18977265, 218.13886539, -2816.32700409
236.45614717, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10633086, 0.00044000, 5.71583769, 1.49000000, 2374.83301971, 3374.83306569, 674.90030998, 6.00000000, 6.00000000, 4.50000000, 2699.93926730, 140.88958423, 122.18507027, 134.62431933, -2817.09876853
287.22291638, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.10642803, 0.00044000, 5.28878633, 1.49000000, 2373.60477920, 3373.53578041, 674.50859475, 6.00000000, 6.00000000, 4.50000000, 2699.36801847, 252.18803265, 131.36589653, 163.40992800, -2816.21055548
110.46610078, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 0.13597838, 0.00044000, 7.84440003, 1.49000000, 2373.37789661, 3373.00243701, 674.85697197, 6.00000000, 6.00000000, 4.50000000, 2698.58510628, 86.03030744, 59.40545464, 82.92728092, -2815.38105908
